full_name,name,brand,category,description,abv,serving_ml,alcohol_ml,alcohol_grams,abv_suspicious,missing_taste_profile,abv_outlier,recommendable,image_url,source_dataset,dataset_version,astringency,body,bitter,sweet,sour,salty,fruits,hoppy,spices,malty
(512) Brewing Company (512) Pecan Porter,(512) Pecan Porter(512) Brewing Company,(512) Brewing Company,Porter - American,"Nearly black in color, (512) Pecan Porter is made with Organic US 2-row and Crystal malts along with Baird’s Chocolate and Black malts. Its full body and malty sweetness are balanced with subtle pecan aroma and flavor from locally grown pecans. Yet another true Austin original!",6.2,375.0,23.25,18.344250000000002,False,False,False,True,,beer_profile_and_ratings.csv,raw-2026-08-11,13,66,41,43,4,0,3,23,6,120
(512) Brewing Company (512) Whiskey Barrel Aged Double Pecan Porter,(512) Whiskey Barrel Aged Double Pecan Porter(512) Brewing Company,(512) Brewing Company,Porter - Imperial,"(512) Double Pecan Porter is a robust porter accented by locally grown roasted pecans and subtly enhanced by aging in recently emptied oak whiskey barrels. For the first ever bottling, only one 200L barrel was bottled. Notes of chocolate, coffee and pecan marry with the subtle flavors of vanilla and whiskey to make this a wonderful winter warmer worth sharing and savoring. We sincerely hope you enjoy every sip.2010 - Jack Daniels barrels2011 - Maker's Mark barrels2012 - Jack Daniels barrels2013 - Maker's Mark barrels",8.2,375.0,30.749999999999996,24.26175,False,False,False,True,,beer_profile_and_ratings.csv,raw-2026-08-11,3,58,14,44,18,0,8,5,17,106
10 Barrel Brewing Co. Pray For Snow,Pray For Snow,10 Barrel Brewing Co.,Strong Ale - American,,7.0,375.0,26.25,20.71125,False,False,False,True,,beer_profile_and_ratings.csv,raw-2026-08-11,8,66,65,84,31,0,47,81,26,154
10 Barrel Brewing Co. S1nist0r Black Ale,S1nist0r Black Ale,10 Barrel Brewing Co.,Lager - Schwarzbier,"We craft our S1NIST0R Black Ale using a special German dehusked black malt that is free of astringency, giving the beer a rich black color without the traditional dark beer characteristics. You will notice subtle hints of chocolate with an easy drinking balance on the back end. In the glass the dark color may look intimidating to some, but don't let this beer fool you. Our unique combination of malts creates a very light body and smooth finish.28 IBU",5.7,375.0,21.375,16.864875,False,False,False,True,,beer_profile_and_ratings.csv,raw-2026-08-11,10,67,47,31,15,0,12,31,12,79
21st Amendment Brewery 21st Amendment IPA,Brew Free Or Die IPA,21st Amendment Brewery,IPA - American,"BREW FREE! OR DIE IPA is brewed with some serious west coast attitude. This aromatic golden IPA starts with three different hops to the nose, quickly balanced by a solid malt backbone supporting the firm bitterness. Our top selling beer at the pub, this IPA starts big and finishes clean leaving you wanting more.",7.0,375.0,26.25,20.71125,False,False,False,True,,beer_profile_and_ratings.csv,raw-2026-08-11,11,32,40,25,32,0,44,59,0,30
21st Amendment Brewery Back In Black,Back In Black,21st Amendment Brewery,IPA - Black / Cascadian Dark Ale,ABV varies around 7%.65 IBU,6.8,375.0,25.5,20.119500000000002,False,False,False,True,,beer_profile_and_ratings.csv,raw-2026-08-11,14,50,95,23,19,0,20,92,11,91
21st Amendment Brewery Fireside Chat,Fireside Chat,21st Amendment Brewery,Winter Warmer,"Like FDR’s Depression-era radio addresses, which were like a kick in the butt and a hug at the same time, our Fireside Chat is a subtle twist on the traditional seasonal brew. We begin with a rich, dark, English-style ale and then we improvise with spices until we know we have a beer worth sharing with the nation.Fireside Chat is our early winter seasonal brew available from October through December in six pack cans and on draft. Brewed like a classic, warming Strong Ale but with a subtle blend of hand-selected spices for just the right festive flair.",7.9,375.0,29.625,23.374125,False,False,False,True,,beer_profile_and_ratings.csv,raw-2026-08-11,3,48,31,36,9,0,12,40,80,54
21st Amendment Brewery Hell Or High Watermelon Wheat Beer,Hell Or High Watermelon Wheat Beer,21st Amendment Brewery,Fruit and Field Beer,"Like Lady Liberty, we stand for independence and perseverance. In the pursuit of innovative beer, there is no obstacle too great. No journey too long. No fruit too gigantic. This American wheat beer is brewed with real watermelon, for a flavor that’s surprisingly crisp, dry and refreshing—summer in a can.17 IBU",4.9,375.0,18.375000000000004,14.497875000000004,False,False,False,True,,beer_profile_and_ratings.csv,raw-2026-08-11,31,27,17,66,49,5,100,37,17,63
21st Amendment Brewery Lower Da Boom Barleywine,Lower De Boom Barleywine,21st Amendment Brewery,Barleywine - American,,11.5,375.0,43.125,34.025625,False,False,False,True,,beer_profile_and_ratings.csv,raw-2026-08-11,11,60,67,110,73,2,120,98,6,100
21st Amendment Brewery Monk's Blood,Monk's Blood,21st Amendment Brewery,Strong Ale - Belgian Dark,"Belgian Strong Dark ale brewed with cinnamon, on oak chips with figs.",8.3,375.0,31.125000000000004,24.557625000000005,False,False,False,True,,beer_profile_and_ratings.csv,raw-2026-08-11,9,32,20,104,30,0,84,13,51,36
5 Rabbit Cerveceria 5 Vulture,5 Vulture,5 Rabbit Cerveceria,Chile Beer,"5 Vulture is a deep ambered-colored ale with complex caramel aromas with toasted sugar notes and a long, elegant spicy finish. Roasted ancho chile is used to add depth and complexity, without adding heat or strong chile flavors.",6.4,375.0,24.0,18.936,False,False,False,True,,beer_profile_and_ratings.csv,raw-2026-08-11,5,44,26,66,8,2,15,13,87,74
